"index","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","package","hiearchy","packagepercentcomplete","ring","feeder","packagehomesearned","rolluphomesearned","downstreamhomes"
463,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","","","","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","",NO,0,No Permits,,,Planning,HIC Ring,F1,0.0,HIC Ring,"",0,2,2847
464,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","",NO,0,No Permits,,,Planning,HIC01-1,F2,0.0,HIC Ring,HIC01-1,0,0,1314
465,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","107.0","","","25340.0",HIC01,"8/6/21","","","","8",0.0,1.0,25340,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV04A,F3,0.0,HIC Ring,HIC01-1,0,0,107
466,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","154.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV04B,F3,0.0,HIC Ring,HIC01-1,0,0,154
467,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","175.0","","","14370.0",HIC01,"8/6/21","","","","8",0.0,1.0,14370,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV07,F3,0.0,HIC Ring,HIC01-1,0,0,175
468,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","104.0","","","50535.0",HIC01,"8/6/21","","","","8",0.0,1.0,50535,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV03A,F3,0.0,HIC Ring,HIC01-1,0,0,104
469,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","113.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV03B,F3,0.0,HIC Ring,HIC01-1,0,0,113
470,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","188.0","","","43163.0",HIC01,"8/6/21","","","","8",0.0,1.0,43163,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV09A,F3,0.0,HIC Ring,HIC01-1,0,0,188
471,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV09B,F3,0.0,HIC Ring,HIC01-1,0,0,96
472,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"",HOA,"","185.0","","","32455.0",HIC01,"8/6/21","","","","8",0.0,1.0,32455,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV06A,F3,0.0,HIC Ring,HIC01-1,0,0,185
473,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV06B,F3,0.0,HIC Ring,HIC01-1,0,0,64
474,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","",NO,0,No Permits,,,Planning,HIC01-2,F2,0.0,HIC Ring,HIC01-2,0,0,718
475,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","","","11317.0",HIC01,"8/6/21","","","","8",0.0,1.0,11317,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV05,F3,0.0,HIC Ring,HIC01-2,0,0,96
476,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","113.0","","","28873.0",HIC01,"8/6/21","","","","8",0.0,1.0,28873,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV01B,F3,0.0,HIC Ring,HIC01-2,0,0,113
477,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","184.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV01A,F3,0.0,HIC Ring,HIC01-2,0,0,184
478,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","127.0","","","31727.0",HIC01,"8/6/21","","","","8",0.0,1.0,31727,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,YR16,F3,0.0,HIC Ring,HIC01-2,0,0,127
479,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","152.0","","","33024.0",HIC01,"8/6/21","","","","8",0.0,1.0,33024,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV02B,F3,0.0,HIC Ring,HIC01-2,0,0,152
480,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","46.0","","","",HIC01,"","","","","8",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV02A,F3,0.0,HIC Ring,HIC01-2,0,0,46
481,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIC02,"","","","","9",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIC02-1,F2,0.0,HIC Ring,HIC02-1,0,1,687
482,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","95.0","2022-11-29","","11067.0",HIC02,"8/17/21","","","","9",0.0,1.0,11067,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,YR13,F3,0.025,HIC Ring,HIC02-1,1,1,95
483,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","","","11627.0",HIC02,"8/17/21","","","","9",0.0,1.0,11627,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,YR12,F3,0.0,HIC Ring,HIC02-1,0,0,64
484,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","","","12011.0",HIC02,"8/17/21","","","","9",0.0,1.0,12011,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,YR09,F3,0.0,HIC Ring,HIC02-1,0,0,96
485,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","63.0","","","22196.0",HIC02,"8/17/21","","","","9",0.0,1.0,22196,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,YR10A,F3,0.0,HIC Ring,HIC02-1,0,0,63
486,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","63.0","","","",HIC02,"","","","","9",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,YR10B,F3,0.0,HIC Ring,HIC02-1,0,0,63
487,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"",Private Street,"","94.0","","","7791.0",HIC02,"8/17/21","","","","9",0.0,1.0,7791,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF12,F3,0.0,HIC Ring,HIC02-1,0,0,94
488,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","45.0","","","28856.0",HIC02,"8/17/21","","","","9",0.0,1.0,28856,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF13A,F3,0.0,HIC Ring,HIC02-1,0,0,45
489,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","62.0","","","",HIC02,"","","","","9",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF13B,F3,0.0,HIC Ring,HIC02-1,0,0,62
490,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","105.0","","","45546.0",HIC02,"8/17/21","","","","9",0.0,1.0,45546,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,YR14A,F3,0.0,HIC Ring,HIC02-1,0,0,105
491,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIC02,"","","","","9",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIC02-2,F2,0.0,HIC Ring,HIC02-2,0,1,128
492,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","2022-11-30","","",HIC02,"","","","","9",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,YR14B,F3,0.025,HIC Ring,HIC02-2,1,1,64
493,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","","","38718.0",HIC02,"8/17/21","","","","9",0.0,1.0,38718,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,YR15,F3,0.0,HIC Ring,HIC02-2,0,0,64
494,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","","","","","","","10",0.0,0.0,0,"","","","",0,0,"","","","0","",0,"","0",NO,0,No Permits,,,Planning,HIC/MEG Ring,F1,0.0,HIC/MEG Ring,"",0,8,3130
495,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIC03,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIC03-1,F2,0.0,HIC/MEG Ring,HIC03-1,0,0,769
496,Not Started,0.0,"","97.0",0,"",Medina Fiber,"",0,"","","19.0","116.0","","","38361.0",HIC03,"8/18/21","","","","10",0.0,1.0,38361,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF16A,F3,0.0,HIC/MEG Ring,HIC03-1,0,0,116
497,Not Started,0.0,"","94.0",0,"",Medina Fiber,"",0,"","","1.0","95.0","","","30838.0",HIC03,"8/18/21","","","","10",0.0,1.0,30838,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF14B,F3,0.0,HIC/MEG Ring,HIC03-1,0,0,95
498,Not Started,0.0,"","87.0",0,"",Medina Fiber,"",0,"",Private Street,"4.0","91.0","","","11328.0",HIC03,"8/18/21","","","","10",0.0,1.0,11328,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF03,F3,0.0,HIC/MEG Ring,HIC03-1,0,0,91
499,Not Started,0.0,"","153.0",0,"",Medina Fiber,"",0,"","","0.0","153.0","","","40428.0",HIC03,"8/18/21","","","","10",0.0,1.0,40428,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF15C,F3,0.0,HIC/MEG Ring,HIC03-1,0,0,153
500,"",0.0,"","92.0",0,"",Medina Fiber,"",0,"","","0.0","92.0","","","",HIC03,"8/18/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF15A,F3,0.0,HIC/MEG Ring,HIC03-1,0,0,92
501,"",0.0,"","94.0",0,"",Medina Fiber,"",0,"","","0.0","94.0","","","",HIC03,"8/18/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","0","",0,"","0",NO,0,No Permits,,,Planning,LF15B,F3,0.0,HIC/MEG Ring,HIC03-1,0,0,94
502,"",0.0,"","128.0",0,"",Medina Fiber,"",0,"","","0.0","128.0","","","",HIC03,"8/18/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF14A,F3,0.0,HIC/MEG Ring,HIC03-1,0,0,128
503,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIC03,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIC03-2,F2,0.0,HIC/MEG Ring,HIC03-2,0,0,900
504,"",0.0,"","85.0",0,"",Medina Fiber,"",0,"","","2.0","87.0","","","",HIC03,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF16B,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,87
505,Not Started,0.0,"","125.0",0,"",Medina Fiber,"",0,"","","3.0","128.0","","","53195.0",HIC03,"8/18/21","","","","10",0.0,1.0,53195,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF17C,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,128
506,"",0.0,"","63.0",0,"",Medina Fiber,"",0,"","","1.0","64.0","","","",HIC03,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF17B,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,64
507,"",0.0,"","88.0",0,"",Medina Fiber,"",0,"","","2.0","90.0","","","",HIC03,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LF17A,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,90
508,Not Started,0.0,"","116.0",0,"",Medina Fiber,"",0,"","","12.0","128.0","","","27422.0",HIC03,"8/18/21","","","","10",0.0,1.0,27422,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WF06A,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,128
509,Not Started,0.0,"","153.0",0,"",Medina Fiber,"",0,"","","7.0","160.0","","","31128.0",HIC03,"8/18/21","","","","10",0.0,1.0,31128,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Planning,WF05,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,160
510,"",0.0,"","118.0",0,"",Medina Fiber,"",0,"","","5.0","123.0","","","",HIC03,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WF06C,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,123
511,"",0.0,"","118.0",0,"",Medina Fiber,"",0,"","","2.0","120.0","","","",HIC03,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WF06B,F3,0.0,HIC/MEG Ring,HIC03-2,0,0,120
512,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",MEG02,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,MEG02-1,F2,0.0,HIC/MEG Ring,MEG02-1,0,5,1261
513,In Progress,0.0,"","138.0",0,"",Medina Fiber,"",0,"","","58.0","196.0","2022-12-06","","",MEG02,"9/30/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,LO01A,F3,0.025,HIC/MEG Ring,MEG02-1,2,2,196
514,"",0.0,"","50.0",0,"",Medina Fiber,"",0,"","","5.0","55.0","","","",MEG02,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LO01B,F3,0.0,HIC/MEG Ring,MEG02-1,0,0,55
515,Ready For QC,0.0,"","148.0",0,"",Medina Fiber,"",0,"","","10.0","158.0","2022-12-06","","",MEG02,"9/30/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,LO04B,F3,0.025,HIC/MEG Ring,MEG02-1,2,2,158
516,Ready For QC,0.0,"","82.0",0,"",Medina Fiber,"",0,"",HOA,"13.0","95.0","2022-12-06","","",MEG02,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,LO04A,F3,0.025,HIC/MEG Ring,MEG02-1,1,1,95
517,"",0.0,"","145.0",0,"",Medina Fiber,"",0,"",Mobile Home Park,"4.0","149.0","","","",MEG02,"9/30/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LO02A,F3,0.0,HIC/MEG Ring,MEG02-1,0,0,149
518,"",0.0,"","115.0",0,"",Medina Fiber,"",0,"","","0.0","115.0","","","",MEG02,"9/30/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LO03A,F3,0.0,HIC/MEG Ring,MEG02-1,0,0,115
519,"",0.0,"","370.0",0,"",Medina Fiber,"",0,"",MDU,"16.0","386.0","","","",MEG02,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LO03B,F3,0.0,HIC/MEG Ring,MEG02-1,0,0,386
520,"",0.0,"","107.0",0,"",Medina Fiber,"",0,"",Mobile Home Park,"0.0","107.0","","","",MEG02,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LO02B,F3,0.0,HIC/MEG Ring,MEG02-1,0,0,107
521,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",MEG02,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,MEG02-2,F2,0.0,HIC/MEG Ring,MEG02-2,0,3,200
522,Ready For QC,0.0,"","124.0",0,"",Medina Fiber,"",0,"",Mobile Home Park,"22.0","146.0","2022-12-05","","",MEG02,"9/30/21","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,LO05A,F3,0.025,HIC/MEG Ring,MEG02-2,2,2,146
523,Ready For QC,0.0,"","35.0",0,"",Medina Fiber,"",0,"","","19.0","54.0","2022-12-05","","",MEG02,"","","","","10",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,LO05B,F3,0.025,HIC/MEG Ring,MEG02-2,1,1,54
524,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","","","","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,MWB Ring,F1,0.0,MWB Ring,"",0,19,4619
525,Complete,0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","2022-11-10","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","0","",0,"","0",NO,0,No Permits,,,Construction Package,MWB04-1,F2,0.05,MWB Ring,MWB04-1,2,6,128
526,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","2022-11-10","","55470.0",MWB04,"8/17/21","2022-11-22","","","11",0.0,1.0,55470,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,GT04C,F3,0.05,MWB Ring,MWB04-1,2,2,64
527,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","2022-11-14","","",MWB04,"","2022-11-28","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,GT04B,F3,0.05,MWB Ring,MWB04-1,2,2,64
528,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","0","",0,"","0",NO,0,No Permits,,,Planning,MWB04-2,F2,0.0,MWB Ring,MWB04-2,0,0,1270
529,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","","","40539.0",MWB04,"8/17/21","","","","11",0.0,1.0,40539,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,GT05B,F3,0.0,MWB Ring,MWB04-2,0,0,96
530,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","235.0","","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,GT05A,F3,0.0,MWB Ring,MWB04-2,0,0,235
531,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","188.0","","","32112.0",MWB04,"8/17/21","","","","11",0.0,1.0,32112,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,RC01,F3,0.0,MWB Ring,MWB04-2,0,0,188
532,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"",Greenfield,"","188.0","","","",MWB04,"8/17/21","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WS01B,F3,0.0,MWB Ring,MWB04-2,0,0,188
533,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","189.0","","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WS01A,F3,0.0,MWB Ring,MWB04-2,0,0,189
534,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","160.0","","","",MWB04,"8/17/21","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WS02B,F3,0.0,MWB Ring,MWB04-2,0,0,160
535,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","144.0","","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WS02A,F3,0.0,MWB Ring,MWB04-2,0,0,144
536,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","70.0","","","",MWB04,"8/17/21","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WS03,F3,0.0,MWB Ring,MWB04-2,0,0,70
537,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","0","",0,"","0",NO,0,No Permits,,,Planning,MWB04-3,F2,0.0,MWB Ring,MWB04-3,0,0,426
538,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","60.0","","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,GT04A,F3,0.0,MWB Ring,MWB04-3,0,0,60
539,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","78.0","","","",MWB04,"8/17/21","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WF09,F3,0.0,MWB Ring,MWB04-3,0,0,78
540,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","160.0","","","60996.0",MWB04,"8/17/21","","","","11",0.0,1.0,60996,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WF08A,F3,0.0,MWB Ring,MWB04-3,0,0,160
541,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","128.0","","","",MWB04,"","","","","11",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,WF08B,F3,0.0,MWB Ring,MWB04-3,0,0,128
542,"",0.0,"","0.0",0,"",Guilford ARPA,"",109729,"","","0.0","0.0","","","","","","","","","12",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","",NO,0,No Permits,,,Planning,MWB Ring (GUILFORD ARPA),F1,0.0,MWB Ring (GUILFORD ARPA),"",0,55,2269
543,"",0.0,"","0.0",69,"",Guilford ARPA,"",26997,"","","0.0","0.0","","","",MWB02,"","","","","12",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","",NO,2,Not Submitted,,,Planning,MWB02-1,F2,0.0,MWB Ring (GUILFORD ARPA),MWB02-1,0,21,887
567,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","160.0","","","",MWB01,"8/17/21","","","","13",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,GR08,F3,0.0,MWB Ring,MWB01-1,0,0,160
544,Complete,0.0,"","139.0",0,"",Guilford ARPA,"",12665,"",Private Street,"0.0","139.0","2022-08-23","","",MWB02,"","","","","12",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","12665.0",NO,2,Not Submitted,,,Construction Package,EM03A,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,3,3,139
545,Complete,0.0,"","155.0",0,"",Guilford ARPA,"",23902,"","","0.0","155.0","2022-08-25","","",MWB02,"8/17/21","","","","12",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","23902.0",NO,2,Not Submitted,,,Construction Package,SS01,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,4,4,155
546,Complete,0.0,"","93.0",0,"",Guilford ARPA,"",8712,"","","0.0","93.0","2022-08-19","","33327.0",MWB02,"8/17/21","","","","12",0.0,1.0,33327,"","","","",0,0,"","","","","",0,"","8712.0",NO,2,Not Submitted,,,Construction Package,EM03B,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,2,2,93
547,Complete,0.0,"","158.0",0,"",Guilford ARPA,"",15972,"","","6.0","164.0","2022-08-17","","43560.0",MWB02,"8/17/21","","","","12",0.0,1.0,43560,"","","","",0,0,"","","","","",0,"","15972.0",NO,2,Not Submitted,,,Construction Package,EM01,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,4,4,164
548,Complete,0.0,"","14.0",0,"",Guilford ARPA,"",2665,"",Private Street,"0.0","14.0","2022-08-17","","43560.0",MWB02,"8/17/21","","","","12",0.0,1.0,43560,"","","","",0,0,"","","","","",0,"","2665.0",NO,2,Not Submitted,,,Construction Package,EM01-HOA1,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,0,0,14
549,Complete,0.0,"","10.0",0,"",Guilford ARPA,"",1900,"",Private Street,"0.0","10.0","2022-08-17","","43560.0",MWB02,"8/17/21","","","","12",0.0,1.0,43560,"","","","",0,0,"","","","","",0,"","1900.0",NO,2,Not Submitted,,,Construction Package,EM01-HOA2,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,0,0,10
550,Complete,0.0,"","150.0",0,"",Guilford ARPA,"",14373,"","","1.0","151.0","2022-08-24","","",MWB02,"8/17/21","","","","12",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","14373.0",NO,2,Not Submitted,,,Construction Package,SS02,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,4,4,151
551,Complete,0.0,"","160.0",0,"",Guilford ARPA,"",23916,"","","1.0","161.0","2022-08-29","","",MWB02,"","","","","12",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","23916.0",NO,2,Not Submitted,,,Construction Package,SN07,F3,0.05,MWB Ring (GUILFORD ARPA),MWB02-1,4,4,161
552,"",0.0,"","0.0",0,"",Guilford ARPA,"",18931,"","","0.0","0.0","","","",MWB03,"","","","","12",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","",NO,2,Not Submitted,,,Planning,MWB03-1,F2,0.0,MWB Ring (GUILFORD ARPA),MWB03-1,0,14,569
553,Complete,0.0,"","164.0",0,"",Guilford ARPA,"",14813,"","","11.0","175.0","2022-09-06","","38497.0",MWB03,"8/17/21","","","","12",0.0,1.0,38497,"","","","",0,0,"","","","","",0,"","14813.0",NO,2,Not Submitted,,,Construction Package,EM04B,F3,0.05,MWB Ring (GUILFORD ARPA),MWB03-1,4,4,175
