"index","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","package","hiearchy","packagepercentcomplete","ring","feeder","packagehomesearned","rolluphomesearned","downstreamhomes"
32,"",32399.0,"","0.0",0,Sent To Construction,Medina Fiber,"",33866,"","","0.0","0.0","","","","","","","2022-07-15","","2",0.0,0.0,0,"","","","2022-09-14",35621,0,"2022-11-16","","","0.871144238757212","",0,"2022-11-30",-1755.0,NO,33,Permits Submitted,,"2022-12-07",Active Construction,MED Ring,F1,0.871144238757212,MED Ring,"",380,801,2905
33,Complete,4861.0,"","0.0",0,Sent To Construction,Medina Fiber,"",0,"","","0.0","0.0","2022-04-25","","",MED10,"","","2022-08-09","","2",0.0,0.0,0,"","","","",0,0,"2022-11-16","","","0.9981485291092367","",0,"2022-11-30","0.0",NO,1,Permits Approved,,"2022-12-01",Permitting,MED10-1,F2,0.075,MED Ring,MED10-1,3,33,107
34,Complete,15234.0,"","107.0",0,Sent To Construction,Medina Fiber,YES,17243,"","","0.0","107.0","2022-04-25","","8121.0",MED10,"","2022-04-14","2022-08-11","","2",0.0,1.0,8121,"","","","2022-09-02",14872,0,"2022-11-16","","","0.558170621608026","",0,"2022-11-30","2371.0",NO,1,Permits Approved,"2022-12-08","2022-12-01",Active Construction,LF11,F3,0.558170621608026,MED Ring,MED10-1,30,30,107
388,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","188.0","","","",HIB04,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,BN14B,F3,0.0,HIA HIB Ring,HIB04-1,0,0,188
35,Complete,26708.0,"","0.0",10285,Sent To Construction,Medina Fiber,"",17548,"","","0.0","0.0","2022-04-25","","",MED10,"","","2022-07-29","","2",0.0,0.0,0,"","","","",0,10285,"2023-04-07","","","","",0,"2023-04-21","17548.0",NO,15,Not Submitted,,"2022-12-07",Permitting,MED10-2,F2,0.075,MED Ring,MED10-2,31,75,1184
36,Complete,20354.0,"","271.0",6045,Sent To Construction,Medina Fiber,"",9729,"","","3.0","274.0","2022-04-12","","",MED10,"","2022-04-18","2022-08-03","","2",0.0,0.0,0,"","","","",0,6045,"2023-04-14","","","","",0,"2023-04-28","9729.0",NO,7,Not Submitted,,,Permitting,GG01,F3,0.075,MED Ring,MED10-2,10,10,274
37,Complete,11352.0,"","81.0",255,Sent To Construction,Medina Fiber,"",20034,"","","13.0","94.0","2022-04-25","","",MED10,"","2022-04-25","2022-08-04","","2",0.0,0.0,0,"","","","",0,255,"2023-05-03","","","","",0,"2023-05-17","20034.0",NO,2,Permits Submitted,,"2022-12-07",Permitting,WF03,F3,0.075,MED Ring,MED10-2,4,4,94
38,Complete,17146.0,"","251.0",0,Sent To Construction,Medina Fiber,"",16718,"",HOA,"1.0","252.0","2022-04-14","","",MED10,"","2022-04-19","2022-08-04","","2",0.0,0.0,0,"","","","",0,0,"2023-05-03","","","","",0,"2023-05-17","16718.0",NO,3,Not Submitted,,,Permitting,WF01,F3,0.075,MED Ring,MED10-2,9,9,252
39,Complete,12560.0,"","208.0",0,Sent To Construction,Medina Fiber,"",18042,"","","16.0","224.0","2022-04-25","","",MED10,"","2022-04-19","2022-08-08","","2",0.0,0.0,0,"","","","",0,0,"2023-05-12","","","","",0,"2023-05-26","18042.0",NO,2,Not Submitted,,,Permitting,CL03,F3,0.075,MED Ring,MED10-2,8,8,224
40,Complete,0.0,"","326.0",0,Sent To Construction,Medina Fiber,"",29088,"","","14.0","340.0","2022-04-25","","",MED10,"","2022-04-19","2022-08-10","","2",0.0,0.0,0,"","","","",0,0,"2023-06-02","","","","",0,"2023-06-16","29088.0",NO,1,Not Submitted,,,Permitting,CL01,F3,0.075,MED Ring,MED10-2,13,13,340
